Date	T	H	WS	WD	NS	EW		
21.svi.99	19,3	61	1,2	78	0,978147600733806	0,207911690817759		219,3
22.svi.99					0	1		238,6
23.svi.99					0	1		238,6
24.svi.99					0	1		238,6
25.svi.99					0	1		238,6
26.svi.99	22,1	74	4,4	195	-0,25881904510252	-0,965925826289068		260,7
27.svi.99	18,1	96	1,7	131	0,754709580222772	-0,656059028990507		264,7
28.svi.99	19,8	78	1,1	169	0,190808995376545	-0,981627183447664		266,4
29.svi.99	20,9	79	2,2	152	0,469471562785891	-0,882947592858927		267,5
30.svi.99	18,8	81	1,5	270	-1	-1,83697019872103E-16		269,6
31.svi.99	23,8	67	1,8	107	0,956304755963036	-0,292371704722737		274,6
1.lip.99	18,2	92	0,7	136	0,694658370458997	-0,719339800338651		280,2
2.lip.99	17,1	87	1,5	289	-0,945518575599317	0,325568154457156		281,3
3.lip.99	18	81	1,8	229	-0,754709580222772	-0,656059028990508		282,2
4.lip.99	16,7	87	1,1	262	-0,99026806874157	-0,139173100960065		283,5
5.lip.99	16,4	93	1,3	199	-0,325568154457157	-0,945518575599317		283,8
6.lip.99	16,1	81	1,8	278	-0,99026806874157	0,139173100960065		284,1
7.lip.99	18,3	65	1	199	-0,325568154457157	-0,945518575599317		286,3
8.lip.99	20,7	66	0,7	71	0,945518575599317	0,325568154457157		288,7
9.lip.99	22,6	69	2	262	-0,99026806874157	-0,139173100960065		290,6
10.lip.99	21,8	80	2,6	278	-0,99026806874157	0,139173100960065		291,4
11.lip.99	22,5	76	1,1	259	-0,981627183447664	-0,190808995376545		292,1
12.lip.99	19,2	93	0,9	278	-0,99026806874157	0,139173100960065		295,4
13.lip.99	19	96	2,4	293	-0,920504853452441	0,390731128489273		295,6
14.lip.99	19,4	96	3	237	-0,838670567945424	-0,544639035015027		296
15.lip.99	17,4	100	2,2	293	-0,920504853452441	0,390731128489273		298
16.lip.99	18,1	86	4,6	271	-0,999847695156391	0,017452406437283		298,7
17.lip.99	22,8	72	0,9	270	-1	-1,83697019872103E-16		303,4
18.lip.99	26,4	56	0,4	82	0,99026806874157	0,139173100960066		307
19.lip.99	29	47	1,1	151	0,484809620246337	-0,874619707139396		309,6
20.lip.99	26	69	2,2	265	-0,996194698091746	-0,087155742747658		312,6
21.lip.99	27	53	0,5	334	-0,438371146789077	0,898794046299167		313,6
22.lip.99	26,6	47	1	84	0,994521895368273	0,104528463267653		314
23.lip.99	19,7	92	0,8	189	-0,156434465040231	-0,987688340595138		320,9
24.lip.99	19	88	1,3	159	0,3583679495453	-0,933580426497202		321,6
25.lip.99	18	88	1	188	-0,139173100960066	-0,99026806874157		322,6
26.lip.99	19,1	91	0,6	262	-0,99026806874157	-0,139173100960065		323,7
27.lip.99	18,4	97	2,4	301	-0,857167300702112	0,515038074910054		324,4
28.lip.99	21	69	1,6	300	-0,866025403784439	0,5		327
29.lip.99	21,2	81	2,4	240	-0,866025403784438	-0,5		327,2
30.lip.99	23,9	79	1,2	303	-0,838670567945424	0,544639035015027		329,9
1.srp.99	23,1	81	1,1	272	-0,999390827019096	0,034899496702501		330,7
2.srp.99	19,1	90	1,7	248	-0,927183854566787	-0,374606593415912		334,7
3.srp.99	19,7	92	1,1	217	-0,601815023152048	-0,798635510047293		335,3
4.srp.99	17	100	0,8	122	0,848048096156426	-0,529919264233205		338
5.srp.99	19,3	88	2,6	288	-0,951056516295154	0,309016994374947		340,3
6.srp.99	22,4	71	0,5	158	0,374606593415912	-0,927183854566787		343,4
7.srp.99	28,2	47	2,2	86	0,997564050259824	0,069756473744126		349,2
8.srp.99	32,8	30	1,8	110	0,939692620785908	-0,342020143325669		353,8
9.srp.99	28,9	62	0,9	267	-0,998629534754574	-0,052335956242944		357,7
10.srp.99	19,7	99	1,9	251	-0,945518575599317	-0,325568154457157		366,9
11.srp.99	20,4	89	1,5	238	-0,848048096156426	-0,529919264233205		367,6
12.srp.99	20,7	95	3,7	277	-0,992546151641322	0,121869343405148		367,9
13.srp.99	25,8	74	1,9	265	-0,996194698091746	-0,087155742747658		373
14.srp.99	26,9	66	0,9	208	-0,469471562785891	-0,882947592858927		374,1
15.srp.99	29,2	67	1	278	-0,99026806874157	0,139173100960065		376,4
16.srp.99	20,2	91	0,8	293	-0,920504853452441	0,390731128489273		385,4
17.srp.99	19,5	92	1,5	284	-0,970295726275996	0,241921895599667		386,1
18.srp.99	20,5	82	3,2	269	-0,999847695156391	-0,017452406437284		387,1
19.srp.99	20,9	86	1,1	186	-0,104528463267653	-0,994521895368273		387,5
20.srp.99	24,9	71	1,6	299	-0,874619707139396	0,484809620246337		391,5
21.srp.99	21,6	97	1,6	295	-0,90630778703665	0,4226182617407		394,8
22.srp.99	22,9	84	2,6	283	-0,974370064785235	0,224951054343865		396,1
23.srp.99	28,6	61	1,8	273	-0,998629534754574	0,052335956242944		401,8
24.srp.99	19,1	100	1	163	0,292371704722737	-0,956304755963035		411,3
25.srp.99	21,4	83	2,2	282	-0,978147600733806	0,207911690817759		413,6
26.srp.99	20	92	1,5	284	-0,970295726275996	0,241921895599667		415
27.srp.99	19,4	95	2,5	290	-0,939692620785909	0,342020143325668		415,6
28.srp.99	22,2	81	1,7	286	-0,961261695938319	0,275637355816999		418,4
29.srp.99	21	88	2,5	285	-0,965925826289068	0,258819045102521		419,6
30.srp.99	19,7	96	1,8	274	-0,997564050259824	0,069756473744125		420,9
31.srp.99	22,7	80	1,1	268	-0,999390827019096	-0,034899496702502		423,9
1.kol.99	20,7	87	0	271	-0,999847695156391	0,017452406437283		425,9
